Date,TecDAX,1&1 Drillisch,Aixtron,Aumann,Adva,Bechtle,Cancom,Carl Zeiss Meditec,CompuGroup,Dialog Semiconductor,Drägerwerk,Evotec,Freenet,GFT Technologies,Infineon,Isra,Jenoptik,LPKF,Manz,Medigene,MorphoSys,Nemetschek,Nordex,Pfeiffer Vacuum,Qiagen,QSC,RIB Software,S&T,SAP,Sartorius,Siemens Healthineers,Siltronic,SLM,SMA,Software,Stratec,Süss,Telefonica,Telekom,United Internet,Wirecard,Xing
18.08.2015,1780.469971,36.757492,5.426,0,9.979,36.807861,15.187653,23.908876,28.253437,43.165001,89.347275,3.934,22.69898,19.956387,0,0,12.248313,8.381,59.368599,0,69.309998,30.650751,27.295,78.102974,25.205336,1.759262,15.163703,0,0,50.088329,0,0,0,35.544247,26.83,44.585907,0,4.257009,0,44.043968,38.834824,184.566849
19.08.2015,1748.420044,36.141121,5.534,0,9.51,36.038612,14.832152,23.673489,27.334703,42.174999,88.186279,3.841,21.742584,19.465546,0,0,11.83971,8,61.270699,0,68.199997,29.735588,26.629999,78.438484,24.846558,1.69936,15.273377,0,0,49.121517,0,0,0,35.230564,26.395,44.070187,0,4.171703,0,43.16851,38.949677,179.426514
20.08.2015,1685.619995,34.647423,5.456,0,8.48,35.403755,14.77094,23.20751,26.507845,40.735001,83.916191,3.758,20.75148,17.815769,0,0,11.225334,7.55,57.732601,0,67.239998,28.050524,24.504999,78.384079,24.303551,1.659733,14.829911,0,0,46.419399,0,0,0,32.476032,25.235001,40.221085,0,4.041856,0,41.417603,38.350452,168.951889
21.08.2015,1624.599976,34.390976,5.232,0,8.215,33.971848,14.375417,22.506145,25.482733,39.5,81.161285,3.667,20.423683,17.352196,0,0,11.063656,7.471,54.608501,0,63.709999,28.820423,23.065001,78.529167,23.22732,1.561126,13.914367,0,0,41.89521,0,0,0,30.049887,24.504999,40.038242,0,3.902195,0,40.018776,36.802448,162.599213
24.08.2015,1574.660034,32.658833,4.927,0,7.955,33.309185,13.975183,21.838408,25.545595,38.580002,79.695305,3.472,20.088175,15.925115,0,0,10.702085,7.144,51.346298,0,60.52,28.762318,22.1,76.171478,22.071447,1.446852,13.189561,0,0,41.672104,0,0,0,28.505974,23.815001,39.156834,0,3.909745,0,39.005341,35.514118,151.154724
25.08.2015,1662.910034,34.741905,5.073,0,8.726,35.070107,14.639098,22.352421,26.464325,41.095001,80.639824,3.707,21.021431,17.288567,0,0,11.220434,7.755,54.401501,0,62.650002,30.70886,25.040001,78.891884,22.998178,1.576792,13.971588,0,0,46.36982,0,0,0,32.529945,24.559999,41.097801,0,4.010149,0,41.160675,37.156994,176.613922
26.08.2015,1642.780029,34.287495,5.06,0,8.765,35.000599,14.446045,21.905661,26.280579,41.294998,79.036087,3.681,21.229679,16.834084,0,0,11.215535,8.116,55.879799,0,61.700001,30.021275,24.790001,78.891884,22.57473,1.582322,13.671175,0,0,45.700485,0,0,0,32.162346,24.105,41.861996,0,3.95202,0,40.480293,35.718849,176.274414
27.08.2015,1693.219971,35.722706,5.374,0,9.403,36.052517,14.584949,22.957712,26.894678,41.919998,82.282928,3.833,21.603754,17.833948,0,0,11.660394,8.637,61.605801,0,63.540001,30.495804,25.879999,81.612305,23.551168,1.656047,14.071726,0,0,47.373817,0,0,0,32.819122,24.684999,44.365551,0,4.033551,0,41.560337,36.582737,180.83284
28.08.2015,1695.589966,35.880169,5.762,0,9.042,35.691063,14.384832,22.434088,26.444984,42.904999,80.265953,3.792,21.680883,17.933933,0,0,11.588863,8.501,62.946098,0,62.970001,30.137487,25.865,85.23951,23.541189,1.615498,13.838073,0,0,46.134315,0,0,0,32.838726,24.735001,44.229591,0,4.044875,0,41.698315,36.73254,177.777756
31.08.2015,1706.97998,36.280586,5.7,0,9.221,35.839348,14.222385,22.794378,26.609388,42.764999,83.453758,3.783,21.881416,19.665516,0,0,11.552608,8.401,61.714199,0,63.029999,30.185909,25.709999,85.638504,23.481409,1.585087,14.128947,0,0,48.712479,0,0,0,34.083656,24.66,44.229591,0,4.093945,0,41.246315,37.067112,176.225937
01.09.2015,1663.680054,35.542744,5.635,0,8.905,35.084011,13.873948,22.631048,25.927591,41.450001,80.728386,3.689,21.584471,18.89744,0,0,11.500676,8.127,62.443501,0,60.970001,29.08674,24.805,84.087875,22.923429,1.544538,13.981124,0,0,45.82444,0,0,0,32.265274,24.15,45.007851,0,4.018453,0,40.680126,35.983509,171.03714
02.09.2015,1676.670044,36.019642,5.667,0,9.129,34.986698,13.739753,23.073002,26.4063,41.465,80.856277,3.766,21.896841,19.042873,0,0,11.33116,8.218,65.281799,0,61.82,29.0819,25.200001,84.63195,23.13271,1.55744,14.124179,0,0,46.159103,0,0,0,33.054382,24.014999,45.950211,0,4.068278,0,40.65633,36.158287,172.152496
03.09.2015,1718.219971,37.319874,5.874,0,9.541,35.959835,14.024624,23.154669,27.397562,43.43,82.204224,3.783,22.525442,19.679152,0,0,11.756421,8.7,66.0308,0,62.959999,30.200436,25.4,87.034988,23.750465,1.596145,14.367371,0,0,47.770454,0,0,0,33.225929,24.135,46.414349,0,4.189065,0,41.312923,36.722557,172.394943
04.09.2015,1687.98999,37.297382,5.831,0,9.188,34.944992,13.713855,22.90967,27.107439,43.200001,81.121941,3.77,22.317192,18.979246,0,0,11.493816,8.1,62.709499,0,61.98,29.08674,24.514999,84.777039,23.127718,1.564812,13.828534,0,0,45.179893,0,0,0,32.431919,25.065001,44.609344,0,4.132447,0,40.561172,36.128323,170.3582
07.09.2015,1693.51001,37.855267,5.943,0,9.342,35.190594,14.566114,22.270758,27.126781,43.525002,81.102257,3.702,22.540867,18.692921,0,0,11.368395,8.342,61.990101,0,62.099998,29.527376,24.485001,85.5569,23.057961,1.562969,13.828534,0,0,45.353424,0,0,0,31.799646,24.495001,44.749996,0,4.161889,0,40.918018,36.073391,169.582321
08.09.2015,1719.390015,38.255688,6.181,0,9.31,35.491798,14.51432,22.554186,27.653841,44.435001,81.810661,3.79,22.911085,18.879263,0,0,11.764259,8.437,64.375099,0,62.43,29.478954,24.615,86.427422,23.366838,1.574028,13.871451,0,0,46.357422,0,0,0,32.456429,25.690001,45.115688,0,4.214733,0,41.622192,36.427933,173.12236
09.09.2015,1734.709961,38.840569,6.533,0,9.273,35.704964,14.949868,22.650263,28.243763,44.205002,82.095985,3.876,22.864809,19.288296,0,0,11.971992,8.34,63.2122,0,61.93,29.614536,25.1,86.617844,23.645876,1.561126,13.818997,0,0,47.84483,0,0,0,33.289642,25.855,45.28915,0,4.265313,0,41.917179,36.837406,175.304565
