Date,Open,High,Low,Close,Adj Close,Volume
2007-11-05,1007.130005,1014.090027,999.010010,1002.630005,1002.630005,264585700
2007-11-06,1011.619995,1031.770020,1011.619995,1026.770020,1026.770020,341192500
2007-11-07,1033.500000,1058.930054,1033.140015,1043.839966,1043.839966,492633100
2007-11-08,1030.170044,1035.719971,1020.460022,1030.910034,1030.910034,477348700
2007-11-09,1030.939941,1045.430054,1008.309998,1011.380005,1011.380005,372791600
2007-11-12,1009.409973,1016.979980,998.049988,1004.780029,1004.780029,250666500
2007-11-13,998.369995,999.780029,954.469971,969.479980,969.479980,480784600
2007-11-14,980.989990,1002.849976,980.989990,988.260010,988.260010,441623100
2007-11-15,985.770020,998.289978,959.820007,968.520020,968.520020,383243200
2007-11-16,962.200012,962.840027,930.049988,940.020020,940.020020,402027500
2007-11-19,942.650024,947.390015,899.460022,901.659973,901.659973,440111100
2007-11-20,898.909973,909.260010,865.510010,906.239990,906.239990,628744700
2007-11-21,896.669983,896.669983,869.650024,879.140015,879.140015,411524100
2007-11-22,877.210022,887.070007,857.580017,873.690002,873.690002,284609200
2007-11-23,874.979980,890.440002,874.849976,881.239990,881.239990,344617800
2007-11-26,887.700012,914.849976,887.140015,902.179993,902.179993,319777100
2007-11-27,897.700012,906.409973,888.309998,905.359985,905.359985,309404400
2007-11-28,912.929993,939.770020,907.200012,939.340027,939.340027,359678500
2007-11-29,945.239990,965.200012,942.419983,950.780029,950.780029,489163300
2007-11-30,953.700012,971.690002,953.700012,970.219971,970.219971,0
2007-12-03,972.409973,975.330017,959.919983,961.799988,961.799988,327565600
2007-12-04,962.900024,962.900024,939.150024,946.349976,946.349976,280155100
2007-12-05,953.150024,979.630005,952.650024,979.369995,979.369995,253625300
2007-12-06,986.530029,995.070007,967.359985,978.309998,978.309998,282695100
2007-12-07,985.359985,991.200012,981.559998,984.590027,984.590027,206268200
2007-12-10,986.049988,993.229980,982.849976,992.840027,992.840027,221878100
2007-12-11,995.960022,1005.119995,988.989990,995.859985,995.859985,287530000
2007-12-12,984.239990,1000.609985,972.450012,993.520020,993.520020,303055300
2007-12-13,987.179993,994.320007,965.789978,967.400024,967.400024,313083300
2007-12-14,974.349976,979.010010,965.309998,973.659973,973.659973,227338500
2007-12-17,963.940002,963.969971,942.080017,945.380005,945.380005,192581900
2007-12-18,943.500000,960.789978,941.880005,947.299988,947.299988,211016800
2007-12-19,951.330017,955.390015,944.349976,947.690002,947.690002,0
2007-12-20,949.330017,954.830017,944.659973,954.630005,954.630005,174867700
2007-12-21,964.820007,973.450012,963.440002,972.039978,972.039978,0
2007-12-27,978.239990,980.539978,970.820007,975.229980,975.229980,160220100
2007-12-28,972.390015,974.770020,968.349976,974.190002,974.190002,86324800
2008-01-02,974.809998,986.000000,967.979980,970.510010,970.510010,161283400
2008-01-03,969.840027,981.150024,951.789978,963.010010,963.010010,189073200
2008-01-04,965.229980,966.729980,942.750000,947.609985,947.609985,238552900
2008-01-07,941.479980,948.159973,902.880005,907.739990,907.739990,308451500
2008-01-08,915.049988,935.969971,915.049988,926.500000,926.500000,294043300
2008-01-09,917.359985,918.299988,888.750000,891.049988,891.049988,339523500
2008-01-10,900.489990,907.989990,861.010010,869.690002,869.690002,403672100
2008-01-11,869.469971,876.690002,860.070007,872.809998,872.809998,274761600
2008-01-14,871.729980,884.000000,863.869995,882.090027,882.090027,266440400
2008-01-15,884.969971,894.500000,843.250000,847.359985,847.359985,310156000
2008-01-16,836.950012,836.950012,805.130005,810.020020,810.020020,602013500
2008-01-17,820.309998,835.780029,813.390015,815.780029,815.780029,384665300
2008-01-18,812.270020,818.359985,789.469971,792.340027,792.340027,455066600
2008-01-21,781.169983,781.169983,720.409973,725.320007,725.320007,0
2008-01-22,688.169983,759.030029,669.179993,750.989990,750.989990,670962600
2008-01-23,767.070007,781.549988,715.369995,730.090027,730.090027,0
2008-01-24,750.700012,773.270020,750.010010,767.250000,767.250000,446430600
2008-01-25,780.309998,794.750000,777.390015,784.039978,784.039978,363862300
2008-01-28,776.460022,776.909973,757.979980,775.359985,775.359985,224374600
2008-01-29,786.409973,799.409973,785.150024,799.380005,799.380005,224364800
2008-01-30,798.289978,798.489990,786.419983,791.000000,791.000000,177114400
2008-01-31,787.460022,792.700012,768.780029,789.799988,789.799988,269767200
2008-02-01,798.820007,825.469971,798.799988,825.469971,825.469971,289311400
